,label,str__aff__id__id,str__levd__id__id,str__levs__id__id,str__jar__id__id,str__jwn__id__id,str__nmw__id__id,str__sw__id__id,str__exm__id__id,str__mel__id__id,arr__ocf__3gram__id__id,arr__ocf__space__id__id,arr__jac__3gram__id__id,arr__jac__space__id__id,arr__dice__3gram__id__id,arr__dice__space__id__id,arr__cos__3gram__id__id,arr__cos__space__id__id,num__anm__id__id,num__rdf__id__id,str__aff__Beer_Name__Beer_Name,str__levd__Beer_Name__Beer_Name,str__levs__Beer_Name__Beer_Name,str__jar__Beer_Name__Beer_Name,str__jwn__Beer_Name__Beer_Name,str__nmw__Beer_Name__Beer_Name,str__sw__Beer_Name__Beer_Name,str__exm__Beer_Name__Beer_Name,str__mel__Beer_Name__Beer_Name,arr__ocf__3gram__Beer_Name__Beer_Name,arr__ocf__space__Beer_Name__Beer_Name,arr__jac__3gram__Beer_Name__Beer_Name,arr__jac__space__Beer_Name__Beer_Name,arr__dice__3gram__Beer_Name__Beer_Name,arr__dice__space__Beer_Name__Beer_Name,arr__cos__3gram__Beer_Name__Beer_Name,arr__cos__space__Beer_Name__Beer_Name,str__aff__Brew_Factory_Name__Brew_Factory_Name,str__levd__Brew_Factory_Name__Brew_Factory_Name,str__levs__Brew_Factory_Name__Brew_Factory_Name,str__jar__Brew_Factory_Name__Brew_Factory_Name,str__jwn__Brew_Factory_Name__Brew_Factory_Name,str__nmw__Brew_Factory_Name__Brew_Factory_Name,str__sw__Brew_Factory_Name__Brew_Factory_Name,str__exm__Brew_Factory_Name__Brew_Factory_Name,str__mel__Brew_Factory_Name__Brew_Factory_Name,arr__ocf__3gram__Brew_Factory_Name__Brew_Factory_Name,arr__ocf__space__Brew_Factory_Name__Brew_Factory_Name,arr__jac__3gram__Brew_Factory_Name__Brew_Factory_Name,arr__jac__space__Brew_Factory_Name__Brew_Factory_Name,arr__dice__3gram__Brew_Factory_Name__Brew_Factory_Name,arr__dice__space__Brew_Factory_Name__Brew_Factory_Name,arr__cos__3gram__Brew_Factory_Name__Brew_Factory_Name,arr__cos__space__Brew_Factory_Name__Brew_Factory_Name,str__aff__Style__Style,str__levd__Style__Style,str__levs__Style__Style,str__jar__Style__Style,str__jwn__Style__Style,str__nmw__Style__Style,str__sw__Style__Style,str__exm__Style__Style,str__mel__Style__Style,arr__ocf__3gram__Style__Style,arr__ocf__space__Style__Style,arr__jac__3gram__Style__Style,arr__jac__space__Style__Style,arr__dice__3gram__Style__Style,arr__dice__space__Style__Style,arr__cos__3gram__Style__Style,arr__cos__space__Style__Style,str__aff__ABV__ABV,str__levd__ABV__ABV,str__levs__ABV__ABV,str__jar__ABV__ABV,str__jwn__ABV__ABV,str__nmw__ABV__ABV,str__sw__ABV__ABV,str__exm__ABV__ABV,str__mel__ABV__ABV,arr__ocf__3gram__ABV__ABV,arr__ocf__space__ABV__ABV,arr__jac__3gram__ABV__ABV,arr__jac__space__ABV__ABV,arr__dice__3gram__ABV__ABV,arr__dice__space__ABV__ABV,arr__cos__3gram__ABV__ABV,arr__cos__space__ABV__ABV
0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7185398655139289,0.3275572945779765,14.5,13.0,0.6060606060606061,0.6464646458625793,0.6464646458625793,11.0,19.0,0,0.6464646458625793,0.782608695652174,0.6,0.46153846153846156,0.42857142857142855,0.631578947368421,0.6,0.6436786858669364,0.5999999999999999,-2.5,19.0,0.17391304347826086,0.46302488446235657,0.46302488446235657,-6.0,3.0,0,0.46302488446235657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10,0.5833333333333333,0.7257727384567261,0.8354636430740356,9.0,10.0,0,0.8354636430740356,0.6190476190476191,0.6666666666666666,0.38235294117647056,0.3333333333333333,0.5531914893617021,0.5,0.5563486402641868,0.5163977794943222,4.0,2.0,0.6666666666666667,0.7777777910232544,0.7777777910232544,4.0,4.0,0,0.7777777910232544,0.375,0.5,0.23076923076923078,0.3333333333333333,0.375,0.5,0.37499999999999994,0.4999999999999999
1,1,0.0,3,0.25,0.5277777910232544,0.5277777910232544,0.0,1.0,0,0.5277777910232544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3274424808269423,1.0133132378799297,16.0,11.0,0.6666666666666667,0.7222222089767456,0.7222222089767456,11.0,22.0,0,0.7222222089767456,0.9166666666666666,1.0,0.6285714285714286,0.6666666666666666,0.7719298245614035,0.8,0.7817359599705717,0.8164965809277261,26.0,0.0,1.0,1.0,1.0,26.0,26.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.5,18,0.25,0.4546296298503876,0.4546296298503876,-9.0,4.0,0,0.4546296298503876,0.36363636363636365,0.5,0.12121212121212122,0.16666666666666666,0.21621621621621623,0.2857142857142857,0.23652495839563303,0.31622776601683794,6.0,0.0,1.0,1.0,1.0,6.0,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.0,4,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896366083445491,0.3673729488609208,10.0,15.0,0.5161290322580645,0.6829663515090942,0.6829663515090942,6.0,15.0,0,0.6829663515090942,0.6086956521739131,0.75,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5081678060484395,0.6708203932499369,-1.0,18.0,0.1428571428571429,0.5019841194152832,0.5019841194152832,-2.0,2.0,0,0.5019841194152832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.16666666666666663,0.49444442987442017,0.49444442987442017,-1.0,5.0,0,0.49444442987442017,0.07692307692307693,0.2,0.03773584905660377,0.1,0.07272727272727272,0.18181818181818182,0.07283570407292297,0.18257418583505536,5.0,1.0,0.8333333333333334,0.8888888955116272,0.9111111164093018,5.0,5.0,0,0.9111111164093018,0.625,0.5,0.45454545454545453,0.3333333333333333,0.625,0.5,0.6249999999999999,0.4999999999999999
3,0,0.0,3,0.25,0.7222222089767456,0.7222222089767456,0.0,1.0,0,0.7222222089767456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874922982131855,1.678186968838527,8.5,34.0,0.29166666666666663,0.6870008111000061,0.7183007597923279,8.0,13.0,0,0.7183007597923279,0.4222222222222222,0.5714285714285714,0.25,0.3333333333333333,0.4,0.5,0.4005551702879947,0.5039526306789696,16.0,11.0,0.6206896551724138,0.7167430520057678,0.7167430520057678,15.0,17.0,0,0.7167430520057678,0.5714285714285714,0.5,0.37209302325581395,0.3333333333333333,0.5423728813559322,0.5,0.5430753866417045,0.5,0.5,15,0.375,0.6574074029922485,0.7259259223937988,-6.0,6.0,0,0.7259259223937988,0.9090909090909091,1.0,0.37037037037037035,0.4,0.5405405405405406,0.5714285714285714,0.5913123959890826,0.6324555320336759,-1.5,3.0,0.0,0.0,0.0,-2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,-1.0,4,0.0,0.5277777910232544,0.5277777910232544,-1.0,1.0,0,0.5277777910232544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194717762817193,0.8179496534111638,7.5,17.0,0.46875,0.6699561476707458,0.6699561476707458,0.0,15.0,0,0.6699561476707458,0.7142857142857143,0.5,0.38461538461538464,0.2857142857142857,0.5555555555555556,0.4444444444444444,0.5698028822981898,0.4472135954999579,1.0,21.0,0.045454545454545414,0.4025973975658417,0.4025973975658417,1.0,5.0,0,0.4025973975658417,0.13043478260869565,0.0,0.06818181818181818,0.0,0.1276595744680851,0.0,0.1276884796138123,0.0,0.0,18,0.25,0.5388888716697693,0.5388888716697693,-3.0,4.0,0,0.5388888716697693,0.23529411764705882,0.5,0.10256410256410256,0.16666666666666666,0.18604651162790697,0.2857142857142857,0.19026059766179765,0.31622776601683794,0.0,4.0,0.33333333333333337,0.0,0.0,-1.0,2.0,0,0.0,0.4,0.5,0.18181818181818182,0.3333333333333333,0.3076923076923077,0.5,0.31622776601683794,0.4999999999999999
5,0,0.0,3,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838068181818181,0.525560538116592,10.5,22.0,0.5,0.6569697260856628,0.6569697260856628,3.0,20.0,0,0.6569697260856628,0.7307692307692307,0.75,0.3584905660377358,0.42857142857142855,0.5277777777777778,0.6,0.5493991853679282,0.6123724356957946,2.0,29.0,0.12121212121212122,0.5574495196342468,0.5574495196342468,2.0,5.0,0,0.5574495196342468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10,0.5833333333333333,0.7257727384567261,0.8354636430740356,9.0,10.0,0,0.8354636430740356,0.6190476190476191,0.6666666666666666,0.38235294117647056,0.3333333333333333,0.5531914893617021,0.5,0.5563486402641868,0.5163977794943222,5.0,1.0,0.8333333333333334,0.8888888955116272,0.9111111164093018,5.0,5.0,0,0.9111111164093018,0.625,0.5,0.45454545454545453,0.3333333333333333,0.625,0.5,0.6249999999999999,0.4999999999999999
6,0,0.0,3,0.25,0.5277777910232544,0.5277777910232544,0.0,1.0,0,0.5277777910232544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46382978723404256,0.7325581395348837,-3.0,32.0,0.28888888888888886,0.6592592597007751,0.7955555319786072,-17.0,9.0,0,0.7955555319786072,0.7647058823529411,0.75,0.2653061224489796,0.3,0.41935483870967744,0.46153846153846156,0.47001599194042165,0.5,6.5,13.0,0.4347826086956522,0.7111977934837341,0.8267186880111694,2.0,10.0,0,0.8267186880111694,0.55,0.6666666666666666,0.3235294117647059,0.4,0.4888888888888889,0.5714285714285714,0.4919349550499537,0.5773502691896258,0.5,15,0.375,0.6574074029922485,0.7259259223937988,-6.0,6.0,0,0.7259259223937988,0.9090909090909091,1.0,0.37037037037037035,0.4,0.5405405405405406,0.5714285714285714,0.5913123959890826,0.6324555320336759,-3.0,6.0,0.0,0.0,0.0,-5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.0,4,0.0,0.5,0.5,0.0,1.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815037593984963,0.37882310856734036,15.0,13.0,0.59375,0.6825897693634033,0.6825897693634033,14.0,17.0,0,0.6825897693634033,0.5862068965517241,0.75,0.3695652173913043,0.5,0.5396825396825397,0.6666666666666666,0.5413902920037097,0.6708203932499369,9.5,12.0,0.4782608695652174,0.6421670317649841,0.6421670317649841,9.0,11.0,0,0.6421670317649841,0.391304347826087,0.3333333333333333,0.23076923076923078,0.16666666666666666,0.375,0.2857142857142857,0.37532594530273455,0.2886751345948129,10.5,10,0.5833333333333333,0.7257727384567261,0.8354636430740356,9.0,10.0,0,0.8354636430740356,0.6190476190476191,0.6666666666666666,0.38235294117647056,0.3333333333333333,0.5531914893617021,0.5,0.5563486402641868,0.5163977794943222,1.0,3.0,0.5,0.5,0.550000011920929,0.0,2.0,0,0.550000011920929,0.6,0.5,0.3,0.3333333333333333,0.46153846153846156,0.5,0.4743416490252569,0.4999999999999999
8,0,0.0,4,0.0,0.5,0.5,0.0,1.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388373229115779,0.5993650793650793,17.0,14.0,0.5625,0.6067204475402832,0.6067204475402832,17.0,17.0,0,0.6067204475402832,0.5483870967741935,0.6,0.3541666666666667,0.42857142857142855,0.5230769230769231,0.6,0.5236349380886428,0.5999999999999999,-3.0,28.0,0.125,0.45568183064460754,0.45568183064460754,-7.0,5.0,0,0.45568183064460754,0.125,0.0,0.05454545454545454,0.0,0.10344827586206896,0.0,0.10502100630210075,0.0,10.5,10,0.5833333333333333,0.7257727384567261,0.8354636430740356,9.0,10.0,0,0.8354636430740356,0.6190476190476191,0.6666666666666666,0.38235294117647056,0.3333333333333333,0.5531914893617021,0.5,0.5563486402641868,0.5163977794943222,3.0,3.0,0.5,0.6666666865348816,0.6666666865348816,3.0,3.0,0,0.6666666865348816,0.25,0.5,0.14285714285714285,0.3333333333333333,0.25,0.5,0.24999999999999994,0.4999999999999999
9,0,2.0,2,0.5,0.8333333134651184,0.8666666746139526,2.0,2.0,0,0.8666666746139526,0.3333333333333333,0.0,0.2,0.0,0.3333333333333333,0.0,0.33333333333333337,0.0,0.9752421959095802,0.025068119891008173,6.0,18.0,0.3793103448275862,0.6462096571922302,0.6815887093544006,3.0,8.0,0,0.6815887093544006,0.5652173913043478,0.75,0.3170731707317073,0.5,0.48148148148148145,0.6666666666666666,0.48685382607753996,0.6708203932499369,2.5,14.0,0.33333333333333337,0.6003968119621277,0.6003968119621277,-1.0,8.0,0,0.6003968119621277,0.3333333333333333,0.5,0.17142857142857143,0.25,0.2926829268292683,0.4,0.2948839123097943,0.40824829046386296,0.5,15,0.375,0.6574074029922485,0.7259259223937988,-6.0,6.0,0,0.7259259223937988,0.9090909090909091,1.0,0.37037037037037035,0.4,0.5405405405405406,0.5714285714285714,0.5913123959890826,0.6324555320336759,5.0,1.0,0.8333333333333334,0.8888888955116272,0.9111111164093018,5.0,5.0,0,0.9111111164093018,0.625,0.5,0.45454545454545453,0.3333333333333333,0.625,0.5,0.6249999999999999,0.4999999999999999
