_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,category_category_jac_qgm_3_qgm_3,category_category_cos_dlm_dc0_dlm_dc0,category_category_jac_dlm_dc0_dlm_dc0,category_category_mel,category_category_lev_dist,category_category_lev_sim,category_category_nmw,category_category_sw,brand_brand_jac_qgm_3_qgm_3,brand_brand_cos_dlm_dc0_dlm_dc0,brand_brand_jac_dlm_dc0_dlm_dc0,brand_brand_mel,brand_brand_lev_dist,brand_brand_lev_sim,brand_brand_nmw,brand_brand_sw,modelno_modelno_jac_qgm_3_qgm_3,modelno_modelno_cos_dlm_dc0_dlm_dc0,modelno_modelno_jac_dlm_dc0_dlm_dc0,modelno_modelno_mel,modelno_modelno_lev_dist,modelno_modelno_lev_sim,modelno_modelno_nmw,modelno_modelno_sw,price_price_exm,price_price_anm,price_price_lev_dist,price_price_lev_sim,label
0,581,17384,0.0,0.03342153704555917,4.0,0.19999999999999996,0.023809523809523808,0.0,0.0,0.6719576716423035,15.0,0.2857142857142857,1.0,6.0,0.29411764705882354,0.7071067811865475,0.5,0.8769230842590332,8.0,0.3846153846153846,-3.0,5.0,0.22194357904777592,0.07619375707184958,0.07276451236336623,0.6605438558197978,6.289207258834766,0.4264017580508651,1.7772683858643743,4.100668576886342,0.0,0.46530147895335605,2.0,0.6,0
1,1502,3825,0.0,0.3926797385620915,4.0,0.0,0.0,0.0,0.0,0.60317462682724,19.0,0.09523809523809523,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.22194357904777592,0.07619375707184958,0.07276451236336623,0.6605438558197978,6.289207258834766,0.4264017580508651,1.7772683858643743,4.100668576886342,0.0,0.7198879551820728,2.0,0.6,0
2,337,20538,0.0,0.016408608433148286,4.0,0.19999999999999996,0.0,0.0,0.0,0.5823754668235779,23.0,0.2068965517241379,-5.0,3.0,0.0,0.0,0.0,0.4472222328186035,10.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.43703705072402954,8.0,0.11111111111111116,-3.0,1.0,0.0,0.42311631309436726,3.0,0.4,0
3,53,13427,0.0,0.00394727042526255,4.0,0.19999999999999996,0.023809523809523808,0.0,0.0,0.6719576716423035,15.0,0.2857142857142857,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.22194357904777592,0.07619375707184958,0.07276451236336623,0.6605438558197978,6.289207258834766,0.4264017580508651,1.7772683858643743,4.100668576886342,0.02228203977867504,0.6079855147953193,3.5359653058172573,0.34036332044407414,0
4,1560,3823,0.0,0.4080565001307873,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.4166666567325592,11.0,0.08333333333333337,-5.0,1.0,0.16666666666666666,0.0,0.0,0.6800000071525574,3.0,0.4,2.0,2.0,0.0,0.7283950617283951,3.0,0.4,0
5,2019,18973,0.0,0.10641437832709644,5.0,0.0,0.0,0.0,0.0,0.46832358837127686,15.0,0.21052631578947367,-6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.22194357904777592,0.07619375707184958,0.07276451236336623,0.6605438558197978,6.289207258834766,0.4264017580508651,1.7772683858643743,4.100668576886342,0.0,0.9051490514905149,2.0,0.6,0
6,2422,1257,0.0,0.5189925681255161,4.0,0.0,0.05405405405405406,0.0,0.0,0.4841269850730896,16.0,0.23809523809523814,-2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4555555582046509,11.0,0.08333333333333337,-1.0,2.0,0.0,0.7256074766355141,4.0,0.19999999999999996,0
7,155,3446,0.0,0.044979686593151436,4.0,0.0,0.03571428571428571,0.0,0.0,0.6746031641960144,11.0,0.2666666666666667,-1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.42592594027519226,8.0,0.11111111111111116,-2.0,1.0,0.0,0.8968378560215294,3.0,0.4,1
8,261,5192,0.0,0.05026964560862868,4.0,0.0,0.3181818181818182,0.0,0.0,0.8573529124259949,10.0,0.4117647058823529,-2.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,0.0,0.9647346231135979,4.0,0.33333333333333337,1
9,25,12,0.0,0.48,2.0,0.0,0.2,0.0,0.0,0.640350878238678,12.0,0.368421052631579,-4.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.11764705882352941,0.0,0.0,0.7037037014961243,5.0,0.4444444444444444,1.0,4.0,0.02228203977867504,0.6079855147953193,3.5359653058172573,0.34036332044407414,0
10,483,1149,0.0,0.42036553524804177,4.0,0.0,0.4583333333333333,0.8164965809277259,0.6666666666666666,0.6984848380088806,9.0,0.55,2.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,0.5,0.0,0.0,0.9333333373069763,1.0,0.8571428571428572,6.0,6.0,0.0,0.6821692122876265,4.0,0.33333333333333337,0
11,376,9389,0.0,0.0400468633507296,3.0,0.25,0.4583333333333333,0.8164965809277259,0.6666666666666666,0.6984848380088806,9.0,0.55,2.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.0,0.9014606741573035,3.0,0.4,1
12,1564,12948,0.0,0.12079085573061477,3.0,0.4,0.0,0.0,0.0,0.6135112643241882,25.0,0.19354838709677424,-4.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.42857142857142855,0.0,0.0,0.8999999761581421,2.0,0.75,6.0,6.0,0.0,0.636390977443609,4.0,0.19999999999999996,0
13,23,19216,0.0,0.0011969192339716939,4.0,0.19999999999999996,0.0,0.0,0.0,0.5736179351806641,22.0,0.24137931034482762,-1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,0.22194357904777592,0.07619375707184958,0.07276451236336623,0.6605438558197978,6.289207258834766,0.4264017580508651,1.7772683858643743,4.100668576886342,0.02228203977867504,0.6079855147953193,3.5359653058172573,0.34036332044407414,0
